Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
128.3775,-95.43091046444076,-98.11401593319076
128.47,-95.43962744542823,-97.69892767736182
128.5625,-92.89270940710635,-95.67788091589541
128.655,-92.51512157799634,-95.22648632409009
128.7475,-94.65565414032999,-97.75806350312295
128.84,-98.72992302736206,-97.35472466310425
128.9325,-96.9593301931849,-95.77370702423958
129.025,-96.85166969538422,-96.58597603083344
129.1175,-93.78668372872708,-94.56243293527005
129.21,-91.79276550930237,-95.8995846621344
129.3025,-93.9343417849989,-97.36687504915906
129.395,-94.8856109366826,-97.79378354410447
129.4875,-95.45040992447274,-98.41993812271492
129.58,-95.93906060402495,-98.58713952248198
129.6725,-96.50827451438846,-98.41775174827518
129.765,-95.55131248753972,-98.49762443822331
129.8575,-95.22265811280039,-96.12340731934336
129.95,-95.27034904940406,-98.37947990877906
130.0425,-96.55542903056393,-98.59039454570065
130.135,-97.48136955832676,-98.48738152121739
130.2275,-97.3669748712867,-97.7896051813453
130.32,-97.33999774034449,-96.34724566514917
130.4125,-97.87922684525994,-98.96580521440056
130.505,-99.08080605522295,-99.82924965873858
130.5975,-98.31285937324245,-99.54327471748073
130.69,-94.31912100725667,-99.40336478167073
130.7825,-94.19811475742964,-99.82095563877729
130.875,-93.37996829093385,-99.18686068595338
130.9675,-93.83236102249164,-98.19019488479633
131.06,-94.80632795175885,-98.20574201425885
131.1525,-93.90126973832241,-96.4185274287521
131.245,-94.2602575763316,-97.14333710514019
131.3375,-95.73459160900626,-100.41430199718985
131.43,-92.84637112277548,-99.18333096164267
131.5225,-92.4537701245697,-98.55542417730408
131.615,-92.1809003213166,-98.9920575478791
131.7075,-93.32958480486933,-99.05055495867792
131.8,-97.72475268755491,-99.00993945513304
131.8925,-97.63970235570508,-101.80607656224805
131.985,-95.94656300636488,-99.68309712501723
132.0775,-94.4473252009188,-99.72643897045005
132.17,-95.45640769719189,-100.46049705266064
132.2625,-94.11710947842222,-100.96375101894957
132.355,-94.78002009512508,-99.98338160635555
132.4475,-94.74455103957963,-99.96517024123979
132.54,-94.08055287462211,-101.25145894151665
132.6325,-97.33105876616307,-98.35149791411229
132.725,-96.04553338671771,-98.53801843310443
132.8175,-94.27943804200342,-98.87146379883936
132.91,-94.2843704434595,-98.63559725010012
133.0025,-95.87478681712165,-99.26112409739508
133.095,-95.99289753537808,-98.23204853635464
133.1875,-97.4357713057891,-99.87181409143363
133.28,-95.74684518259856,-99.58775704783294
133.3725,-94.73106128716974,-98.44913227105646
133.465,-97.30713121391068,-98.9850181768013
133.5575,-98.91496858800015,-101.28397188389859
133.65,-98.38711851026763,-100.864993266127
133.7425,-99.10895045624802,-100.1396816574199
133.835,-98.2952808748029,-98.91272777421696
133.9275,-97.9602885641449,-99.17723802703553
134.02,-97.65555070647981,-99.14770768890169
134.1125,-97.14587075414367,-98.77828652562805
134.205,-98.41670946112114,-100.91334489813286
134.2975,-99.4775753871802,-100.13657196921145
134.39,-99.84103643468328,-99.5678507047028
134.4825,-99.43218182481468,-99.97083996690452
134.575,-97.14884853910432,-99.72820950101838
134.6675,-96.24537986540966,-97.42763084197216
134.76,-98.50424862892318,-98.20330716163802
134.8525,-98.36363592851922,-100.99127569902703
134.945,-98.22984721437905,-98.94882609621499
135.0375,-97.95880337779329,-101.36227627818391
135.13,-98.24013499035027,-102.56293467296746
135.2225,-98.50960448499148,-101.16365721936648
135.315,-98.31730073694308,-100.07734864954074
135.4075,-99.88616414999296,-98.3065590474539
